国家（中文）,国家（英文）,公司名称,@type,foundingDate,numberOfEmployees,name,description,json_url
巴林,Bahrain,"( MERCO GROUP BAHRAIN 🇧🇭 ) Petroleum, Petrochemical & Bitumen",Organization,2004.0,,( MERCO GROUP BAHRAIN 🇧🇭 ) Petroleum  Petrochemical & Bitumen,(Merco Group• Established in 2004 ) (Investment company for  renewable energy (Middle East area ) (Mashal chemical) (Mashal International) (RecycleAge )    Petroleum  Petrochemical trading & one of the biggest Bitumen  solvents white-sprit  emulsion  MCS  Bitumen base oil manufacturing and refining company in the kingdom of Bahrain. Physical trading  logistics  and distribution are at the core of the business but are complemented by refining  shipping  terminals  custom-made production businesses. We are able to offer bitumen that meets the specifications of our customers. Market leader • Largest private sector independent Bitumen  petroleum products recycling of steel  trading if steel Waste oil recycling  trader various products from the Kingdom of Bahrain and in Saudi buying Products from Sabic and Farabe for internal use in Merco and trading there products too. • Extensive trading  financial and technical expertise • Reputation founded on dependability and quality Financial strength • Merco consecutive years of profitable operations • Strong liquidity and risk management discipline • Long-term outlook  strategic infrastructure investments Proven partner • Collaborative and solutions-focused approach • A business founded on long-standing partnerships • Consistently reliable execution A local presence  globally exporter • Committed to operating to the highest international HSE standards • Handling products around the globe efficiently and safely with respect for the environment Market-leading expertise and innovation across a global network. Supplier for world bank projects  united nation  and top international projects around the globe. We are able to supply most international grades of bitumen and a full range of specialty products including bitumen  PMB  cutbacks  solvents  MCS  base oil  and emulsions  which  together with our extensive sourcing abilities  enables us to offer highly competitive production costs.,
巴林,Bahrain,ARC Energy W.L.L,Organization,2006.0,11-50,ARC Energy W.L.L,ARC Energy W.L.L is a multi-division trading and contracting company was founded in Manama  Kingdom of Bahrain and has become known as a facilitator of industrial and commercial development within the region.  ARC Energy is set up to undertake complete supply and contracting activities for industrial projects in the oil & gas  petrochemical  other industrial sectors and related infrastructure fields  including power & telecommunication.   We are working throughout Middle east and north Africa  with our assets capable of serving clients’ requirements.,
巴林,Bahrain,Abdulrahman Ali Al Saad Power Projects,Organization,,1-10,Abdulrahman Ali Al Saad Power Projects,,www.alsaadprojects.com
巴林,Bahrain,Al Faris Holding Group of Company W.L.L,Organization,2006.0,1-10,Al Faris Holding Group of Company W.L.L,Al-Faris is a leading technical trading services and solutions provider based in Bahrain with established associates in the Kingdom of Saudi Arabia. We are specialized in dealing with all kind of mechanical  electrical  allied engineering spare parts and equipment. Al-Faris enjoys close relationship with a vast number of esteemed international corporations located around the world including those in the USA  Europe & Asia.,
巴林,Bahrain,BL Energy,Organization,,,BL Energy,BL Energy is an international energy services company providing a broad range of project management  engineering  construction management and commissioning services to the Oil & Gas  Renewable Energy  Buildings  Infrastructure and Marine industries.  With a history spanning nearly 120 years  and whose success is built on robust core values  BLE are committed to providing our clients with the highest standards for the projects we deliver.  With a string of awards for technical excellence  BLE also carry in-house specialist engineering capability encompassing geotechnical  technical safety  environmental and marine.    At BLE  people are our most valuable asset and we are extremely fortunate to have a wealth of expertise at our disposal. These are dedicated individuals who make BLE the company it is and who are committed to their work.  We work hard to retain the best people.  Our core values are at the heart of our business because they define who we are  how we work  what we believe in and what we stand for.  Our core values set out how we act and how we expect to be treated as part of the ByrneLooby Group and provide a sound basis to make decisions.   BLE s work encompasses Oil & Gas  Renewable Energy  Buildings  Infrastructure and Marine industries and is channeled through 3 distinct business units:  Projects  Technical Support Services  and Field Operations Support Services.,www.blenergygroup.com
巴林,Bahrain,BTA International,Organization,,11-50,BTA International,BTA provides a comprehensive array of specialized services and solutions to energy and industry sectors across the globe. With strategic bases in the Middle East and South East Asia we are well positioned to provide performance driven solutions from conceptualization and design right through to delivery.,
巴林,Bahrain,Bahrain National Gas Company (B.S.C.),Organization,,501-1000,Bahrain National Gas Company (B.S.C.),On the 17th of December 1979  His Highness Shaikh Isa Bin Salman Al-Khalifa  the late Amir of the Kingdom of Bahrain  inaugurated the Associated Gas Project marking a major step in the Government of Bahrain’s determination to use energy effectively. Primary objective of this project was to process the large quantities of associated gas extracted from the Bahrain Oil Field into marketable products  supply residue gas for local industrial use and to provide employment and training opportunities to Bahraini nationals.  The Project was incorporated as the Bahrain National Gas Company B.S.C. (BANAGAS). Initially  at a cost of US$100 million the project included the construction of four gas compressor stations  a processing plant to recover Propane  Butane and Naphtha  and a storage area at Sitra.  Due to a substantial increase in the quantity of associated gas extracted from the Bahrain Oil Field  an Expansion Project was launched in 1988 to upgrade plant processing capacity from 170 to 280 MMSCFD. The Project  which was implemented by the Government of Bahrain as a sole venture  involved construction of two additional compressor stations and a new processing train at the Central Gas Plant. The Project was commissioned in October 1990.  BANAGAS is certified to international standards ISO 9001:2008 (“Quality Management System )  OHSAS 18001:2007 (“Occupational Health and Safety Management ) and ISO 14001:2004 (“Environmental Management System ).  Consistently high levels of production enabled substantial annual contributions to be made to the Kingdom’s revenue. Combined with an outstanding occupational safety record which has received international recognition has made BANAGAS one of the most successful of the many projects implemented by the Government of the Kingdom of Bahrain in its determined drive for growth and prosperity for all the people of Bahrain.,
巴林,Bahrain,Bahrain Petroleum Company,Organization,1929.0,,Bahrain Petroleum Company,Bapco (with a legacy of being referred to as “The Company  in Arabic - Ash Shariqa locally) is a trusted and enterprising organisation  which has never stood still since its inception. The first to discover oil in the Arabian peninsula in 1932  it started exporting crude in 1934  and installed the region’s first crude oil refinery in 1936. Since then the Company has helped shape the modern Kingdom of Bahrain  not simply through the generation of wealth  but through its committed development of the people of Bahrain. The Company is known as the incubator of much of the leadership talent in Bahrain developed over many decades. Bapco touches all aspects of life in the Kingdom. With a rich history of more than 85 years  the adventure continues with new ambitions and initiatives in the downstream sector as well as oil and gas field development. The most recent is the Company’s multi-billion dollar expansion project which will significantly increase the Refinery’s capacity and employ the latest refining technology to meet future customer demands  latest fuels specifications and environmental compliance. Bapco is engaged in the oil industry including refining and distribution of petroleum products  sales and exports of crude oil and refined products,
巴林,Bahrain,Bahrain Special Technical Services (STS) Co WLL,Organization,2010.0,1001-5000,Bahrain Special Technical Services (STS) Co WLL,Bahrain Special Technical Services (STS) Co. WLL  have been awarded the all surface facility construction activities associated with the Bahrain Oilfield development includes civil  mechanical and E&I works  Well pad preparation  heavy earthworks involvement  well mechanical / E&I  hook up works and Flow line works to field tank batteries.  The three year service contract is awarded by Tatweer Petroleum to the local operations of STS in Bahrain.  Development of the major Khuff gas accumulation in the field began in 1969. Khuff gas production has steadily increased and today approximately 1.2 billion cubic feet per day are delivered to local customers.    STS are registered in Bahrain with our partners Intercol International Agencies.  Special Technical Services (STS) is a premier Engineering  Procurement and Construction (EPC) company specializing in fabrication  construction and maintenance services. We are based in the Sultanate of Oman with offices in Abu Dhabi and Bahrain. With over nine fabrication shops in Oman  we have varied capabilities and vast experience to execute Long Term Service contract or Lumpsum turnkey contract. STS began its operations in 1980 as a member of the OOSC (Oman Oilfield Supply Centre L.L.C) Group of Companies.,
巴林,Bahrain,CSS (Commissioning Specialist Services),Organization,2014.0,11-50,CSS (Commissioning Specialist Services),Commissioning Specialist Services in the Oil & Gas industry. We deal with all Pre-Commissioning and Commissioning Technical Documentation and Test Procedures.  The aim of the CSS team is to ensure the Plant is Operated/Run in a safe  and controlled manner while confirming compliance with the design intent and demonstrating system and equipment performance.  Due to the complexity and multitude of disciplines that encompass oil and gas developments  effective planning is imperative in order to achieve first production in the safest and fastest way possible. In CSS experience  major issues are often not detected until the initial start up of Plant developments  causing deferred production and consequently many expensive changes. CSS gets involved early in the design process and applies a systems-wide engineering approach that negates many of the potential issues encountered during Pre-Commissioning  Commissioning and initial start up  which minimizes cost and schedule impacts.,
巴林,Bahrain,ConTech Consultancy & Development,Organization,2019.0,1-10,ConTech Consultancy & Development,We help and assist our global clients steer a course through their options so they stay competitive and preserve margins. We work with global manufacturers to target their investment  so their own operations and their supply chain are as efficient as they can be. We thrive on advancing the conventional to state-of-the-art for both new manufacturing plant and production improvement or process or equipment upgrading in so-called mature industries.  Contech specializes in digitalization projects across value chains in the Gulf region  with a special focus on industrial products within the Oil & Gas industry.,
巴林,Bahrain,EMMAY Associates,Organization,1977.0,11-50,EMMAY Associates,EMMAY Associates was formed in 1977 as a ‘Management & Energy Services Company’ by a team of multifaceted industry professionals who after successfully achieving their career goals pooled in their resources to carve a niche in Pakistan and the Overseas across the value chain including Oil & Gas  Hydrocarbon Processing  Energy & Power  Iron  Steel & Cement  Mining & Metallurgy  Transport  Textiles  Health & Education sectors etc.  The team’s technical depth of know-how and spectrum of hardcore management skills attained through management & control at one time or another of assets valued around US$ 5 billion  brought a unique mindset which helped in developing a team who was driven by a desire to improve the environment they live in.  Being part of an emerging market and going through the Industrialization process  EMMAY planned & generated various feasibilities for capital expansions. As part of its Corporate Social Responsibility (CSR)  EMMAY trained and counselled professionals from over 200 companies and was directly or indirectly responsible for the employment of thousands of people.  Core Competence includes hands-on field experience in Engineering & Project Management including setting up and operating large scale units including refineries  petrochemical plants  oil & gas transportation facilities  ginneries  food processing plants  energy roadmaps  cement plants etc.  EMMAY’s team has thorough familiarity with the methods of working of public bodies with policy formulation and its implementation at the highest levels. Of particular importance is EMMAY’s assistance to organizations in institutionalizing new methods for smooth and efficient operations to meet the challenges of the new millennium.  In short  the capability of integrating a host of disciplines is part of EMMAY’s successful track record having experience of contracts with government and agencies of Pakistan  United Kingdom  France  Sweden  America and the OPEC nations.,
巴林,Bahrain,Enerserv WLL,,,,,,
巴林,Bahrain,Eurotechnology Group,Organization,,,Eurotechnology Group,The Eurotechnology Group offers an innovated one-stop shop managed approach that focuses on assisting its clients in the day to day management and logistics required in support of their tubulars  drill strings  tools and equipment inventories employed in the various facets in drilling and completing the oil and gas wells.  Services covered under the Managed approach services concept include Non-Destructive Testing (various types of inspection)  QA/QC & third party inspection services  hardbanding  machining and refurbishment of O.C.T.G Tubular Goods and Line Pipe Products  Repair / Refurbishment of Casing  Tubing and Rotary Drill Stem Components  Drilling Tools and Equipment  Completion systems assembly and providing Pressure Testing and other related services. Logistical support is provided to the end user by a dedicated focal point who is responsible in ensuring that the customer is aware of the situation to its tubular and equipment inventories at all times via a dedicated real time software interface.   Where customers do not require a fully managed approach to the refurbishment of tubulars and equipment  Eurotechnology also provides individual service lines based on the clients requirement.   In addition to supplying the end user with services  the Eurotechnology Group also manufactures and supplies the end user with a full range of Inspection  Hardbanding and CNC Threading Equipment designed to meet the customers required supported by commissioning the equipment at location and training of the client’s personnel.   The Eurotechnology Group is also a provider of the various NDT inspection technique training programs for the customer’s personnel. ,www.eurotechnologygroup.com
巴林,Bahrain,Exelon Industrial Solutions,Organization,2002.0,,Exelon Industrial Solutions,Exelon Industrial Solutions based in Kingdom of Bahrain have been involved in industrial services since 2002  we have always been making our mark in the trading of various petrochemical products such as Low Aromatic white Spirit  gas condensate oil rubber processing oil  fuel oil  residue oil  light Liquid paraffin  hydrocarbon oil  base oil High flash oil  bitumen. Our distribution network reach all over the world. Equipped with good cooperation with major ports in coastal area Exelon Industrial Solution is ready to offer Quality  Comprehensive and one stop services.,
巴林,Bahrain,Falcon Petroleum Consultants - Middle East,Organization,2005.0,11-50,Falcon Petroleum Consultants - Middle East,Falcon Petroleum Consultants W.L.L is strategically located in the Kingdom of Bahrain to cater to Middle East clients with primary focus on the Upstream Petroleum Industry. Our mission is to function as a catalyst for accelerating growth of clients facing complex challenges in Oil & Gas.We are backed by a vast network of Experienced Petroleum Engineers and Seasoned Operational Experts  Global Manufacturers of Upstream Petroleum Equipment and Material  as well as Financial Advisers.  Falcon s services include:  - Market Research  - Market Entry Planning  - Business Development  - Oil and Gas Inventory Valuation  - Oilfield Equipment Consulting  - Mergers & Acquisitions  - Business Process Re-engineering  - Quality Assurance  - Financial Advisory,
巴林,Bahrain,GPA GCC Chapter,Organization,1992.0,10001+,GPA GCC Chapter,GPA Global 2019 | 27th International Conference  Exhibition & Workshop March 12 -14  2019 The Regency Hotel  State of Kuwait  Our Mission To serve as a Forum for the exchange of ideas  technology  and information that will benefit both the upstream and downstream Gas Processing industries  and their Suppliers  with a view toward improving Plant Operations  and Health  Safety and Environmental performance in the GCC countries.  Our Vision To be the focal point and the main source of information on the Gas Processing industry in the Gulf Cooperation Council Countries.,
巴林,Bahrain,Gulf Downstream Association (GDA),Organization,2016.0,11-50,Gulf Downstream Association (GDA),The Gulf Downstream Association (GDA) was founded by Saudi Aramco  Bahrain Petroleum Company (BAPCO)  Kuwait Petroleum International (KPI)  Kuwait National Petroleum Company (KNPC) and Abu Dhabi National Oil Company (ADNOC)  as a non-profit organisation that aims at exchanging knowledge  experiences  and best practices  while raising the efficiency of employees in the sector of refining  distribution and associated facilities  as well as contributing to the economic and social development of the Gulf Cooperation Council (GCC) countries.  We bring together downstream companies  service providers  governmental organisations  and academic institutions on a common platform where they can benefit from each other’s knowledge and expertise.,
巴林,Bahrain,"Hidd Power Company, Kingdom of Bahrain",Organization,2006.0,,Hidd Power Company  Kingdom of Bahrain,HPC is a progressive company providing Bahrain with quality water and power 24 hours a day  7 days a week.  Hidd Power Company  or HPC for short  is a major contributor to the growth of the Kingdom. Our brand driven company is consistently meeting the increasing power and water demands of the Kingdom of Bahrain and currently provides almost 35% of the power and 75% of the total water consumed in the country.   The company is privileged to have the support  and access to the experience  of three major international companies: International Power-GDF SUEZ  Sumitomo Corporation and Malakoff.,
巴林,Bahrain,IDEALINK Co WLL,Organization,2002.0,11-50,IDEALINK Co WLL,IDEALINK - Strategically headquartered in the Kingdom of Bahrain  the Centre of MENAP region  is a name synonymous for following a premium business model through the supply of high quality Electrical and Instrumentation products to Oil & Gas  Petrochemical  Refining & Energy segments for nearly two decades with 25000 plus listed products. Energy giants  notably Saudi Aramco  SABIC  SADARA  BAPCO  Tatweer  BANAGAS  ADNOC  ENOC  Saudi Electricity  MARAFIQ  Maaden  Petro Rabigh  SWCC  constitute IDEALINK s 2000 plus solid client base including Major Fortune 500 companies & EPC contractors.   We are committed to effectively meet the complex and expanding needs of our customers through technological dynamism. IDEALINK s inherent culture is value intensive. The pillars of our partnership are honesty and trust  firmed by solidarity and humility  this strength gives us courage and freedom to innovate and deliver high quality products and services with commitment.  The IDEALINK way lets you know how we do business and ensures our ability to constantly meet customers,
巴林,Bahrain,JPTS Oilfield Services WLL,Organization,2006.0,1-10,JPTS Oilfield Services WLL,Jet Pump Technology Services (JPTS) offers various applications for efficient Jet Pump Technology.  This Technology is very mobile and applicable to onshore or offshore uses  without major surface or downhole equipment changes.   Our goal is to be the leaders in the World Oil and Gas Jet Pump Market.  Our goal is supported by the following key points:      * Operational Excellence     * Technological Leadership     * Innovative Business Relationships     * State of the Art Technology  It is our vision to be the leader in Surface and Select Downhole Jet Pump Applications. This patented technology is designed for increasing Gas and/or Oil Well Production.  This system is simple and effective.  We now offer specialized Jet Pump Services in the Artificial Lift Market Place.,
巴林,Bahrain,MTQ Oilfield Services W.L.L,Organization,2011.0,,MTQ Oilfield Services W.L.L,In 2009  the company was incorporated in the Kingdom of Bahrain as MTQ Oilfield Services W.L.L (MTQOS) and became a wholly-owned subsidiary of MTQ Group  which is listed on the Singapore Exchange – earning a reputation as a trusted services provider for the oil and gas industry in the GCC. With more than 30 years of experience in the oilfield engineering services  MTQ offers its clientele a range of services that include fabrication of steel structures and advanced coating solutions. The Company adheres to the highest performance standards of the American Petroleum Institute (API) and ISO 9001:2015 Quality Management System. We are committed to conducting business in an environmentally responsible manner  centred on safeguarding people  equipment and the environment by practicing the highest safety standards.  MTQOS has a world class state-of-the art advanced facility approved by global OEMs for validation of various components to ensure higher and consistent level of quality. We manufacture equipment as per API 6A  16A  16C  5CT and 7-1 as well as special fabrication of BOP test plugs  Wear Bushing  Running Retrieving Tools tec. for OEMs. MTQOS does refurbishing/repair of wellhead equipment (Xmas Trees  Tubing/Casing Spools  Valves and BOPs) for various world known OEMs. ONE OF THE LARGEST OF ITS KIND IN THE INDUSTRY IN THE MIDDLE EAST (8 000 m2 built up area)  API & Other Certificates: API Q1-1345: Manufacture of Drill-Through Equipment  Drill Stem Elements and Wellhead Equipment for the Oil and Gas Industry. API 6A-1293: Wellhead and Christmas Tree Equipment. API 16A-0302: Drill Through Equipment. API 16C-0409: Choke and Kill Manifold. API 7-1-0949: Rotary Drill Stem Elements. API 5CT-1894: Casing and Tubing. Grand Prideco Premium XT & HT Connection. ISO 9001:2015. Voestalpine Premium Connection  VAGT  VA Superior  VA Roughneck & VA Xplorer. OHSAS 18001:2007.,
巴林,Bahrain,Mars Freights,Organization,1985.0,11-50,Mars Freights,Mars Freights is an oil and energy company based out of Al Rossais Tower Building 283  Manama  Capital  Bahrain.,
巴林,Bahrain,Ministry of Oil and Environment,Organization,2003.0,,Ministry of Oil and Environment,Ministry of Oil and Environment ,
巴林,Bahrain,NM Cables,Organization,,1-10,NM Cables,,www.nmcables.com
