国家（中文）,国家（英文）,公司名称,公司链接
巴林,Bahrain,"( MERCO GROUP BAHRAIN 🇧🇭 ) Petroleum, Petrochemical & Bitumen",https://www.lusha.com/business/c1500feb93c3fc91/
巴林,Bahrain,ARC Energy W.L.L,https://www.lusha.com/business/a6898a859901fa6b/
巴林,Bahrain,Abdulrahman Ali Al Saad Power Projects,https://www.lusha.com/business/69802d6a998d259f/
巴林,Bahrain,Al Faris Holding Group of Company W.L.L,https://www.lusha.com/business/1110997681bb60a0/
巴林,Bahrain,BL Energy,https://www.lusha.com/business/cad1be9bd5a9020f/
巴林,Bahrain,BTA International,https://www.lusha.com/business/aac839694bb6a04b/
巴林,Bahrain,Bahrain National Gas Company (B.S.C.),https://www.lusha.com/business/5a63884af01e1968/
巴林,Bahrain,Bahrain Petroleum Company,https://www.lusha.com/business/9a2f6711f37378f3/
巴林,Bahrain,Bahrain Special Technical Services (STS) Co WLL,https://www.lusha.com/business/88894f47ebbc3edb/
巴林,Bahrain,CSS (Commissioning Specialist Services),https://www.lusha.com/business/8d9e2c59c6b884e3/
巴林,Bahrain,ConTech Consultancy & Development,https://www.lusha.com/business/a9bbaae084507b48/
巴林,Bahrain,EMMAY Associates,https://www.lusha.com/business/5c24d5fd6a342ddb/
巴林,Bahrain,Enerserv WLL,https://www.lusha.com/business/11683ad63bc5e497/
巴林,Bahrain,Eurotechnology Group,https://www.lusha.com/business/efde6d385b8bc79d/
巴林,Bahrain,Exelon Industrial Solutions,https://www.lusha.com/business/f587c997936c5e82/
巴林,Bahrain,Falcon Petroleum Consultants - Middle East,https://www.lusha.com/business/86edc6c446713a27/
巴林,Bahrain,GPA GCC Chapter,https://www.lusha.com/business/fd8262f1d5efefb4/
巴林,Bahrain,Gulf Downstream Association (GDA),https://www.lusha.com/business/af63a50e2e974466/
巴林,Bahrain,"Hidd Power Company, Kingdom of Bahrain",https://www.lusha.com/business/a90ef334cac83649/
巴林,Bahrain,IDEALINK Co WLL,https://www.lusha.com/business/982730d2286c4441/
巴林,Bahrain,JPTS Oilfield Services WLL,https://www.lusha.com/business/a03725a41feabef9/
巴林,Bahrain,MTQ Oilfield Services W.L.L,https://www.lusha.com/business/95184e49bf4d4a62/
巴林,Bahrain,Mars Freights,https://www.lusha.com/business/8d7ea08269d2f009/
巴林,Bahrain,Ministry of Oil and Environment,https://www.lusha.com/business/66d50f44e0ee319d/
巴林,Bahrain,NM Cables,https://www.lusha.com/business/8df14912470406d2/
巴林,Bahrain,Ocean Superior Trading Co. W.L.L.,https://www.lusha.com/business/0bfc0311935bed86/
巴林,Bahrain,Petrodar International,https://www.lusha.com/business/783a7acf7b8096f5/
巴林,Bahrain,Power Tech Development W.L.L,https://www.lusha.com/business/dab73d3da5f4b07c/
巴林,Bahrain,QUARTZ OILFIELD SOLUTIONS,https://www.lusha.com/business/72f90e985b835f0a/
巴林,Bahrain,SAFE & SHIELD,https://www.lusha.com/business/b08043eef4ee3c21/
巴林,Bahrain,Streamline Energy,https://www.lusha.com/business/af61be884cec09b7/
巴林,Bahrain,Subasco,https://www.lusha.com/business/960cacfc88492624/
巴林,Bahrain,Tarsheed Energy Consultation & Services,https://www.lusha.com/business/5069b76dda6a2722/
巴林,Bahrain,UNISIS Engineering,https://www.lusha.com/business/3fe1a7fa4675115a/
巴林,Bahrain,Virtus Veritas et Ingenium w.l.l,https://www.lusha.com/business/7dbe6570fffc4dc8/
巴林,Bahrain,Woodlands Energy Services (WoodServ),https://www.lusha.com/business/7ce3499819428737/
巴林,Bahrain,nogaholding,https://www.lusha.com/business/06374a447f3fb979/
巴林,Bahrain,plantOS W.L.L,https://www.lusha.com/business/2bcea934556afbd5/
埃及,Egypt,(GPC),https://www.lusha.com/business/6aa55efeed383691/
埃及,Egypt,.Misr Petroleum Co,https://www.lusha.com/business/8d2437cfad7f7edd/
埃及,Egypt,AAPG SU SC,https://www.lusha.com/business/b753d7dd57db6e8e/
埃及,Egypt,ADES - Advanced Energy Systems,https://www.lusha.com/business/3341e8368a1d445d/
埃及,Egypt,AG Chem BTTRIGAS,https://www.lusha.com/business/7bc5b4b8097dd479/
埃及,Egypt,AL Jusor Al Arabia Company,https://www.lusha.com/business/28a0b3dc4ba6037c/
埃及,Egypt,AMAK Petroleum,https://www.lusha.com/business/0f3b2f36c0b9c0c1/
